run_id,n_features,method,accuracy,baseline_accuracy
3,18,Logistic,0.701754386,0.809210526
3,19,Logistic,0.808114035,0.809210526
3,20,Logistic,0.805921053,0.809210526
3,21,Logistic,0.76754386,0.809210526
3,22,Logistic,0.734649123,0.809210526
3,23,Logistic,0.808114035,0.809210526
3,24,Logistic,0.774122807,0.809210526
3,25,Logistic,0.765350877,0.809210526
3,26,Logistic,0.808114035,0.809210526
3,27,Logistic,0.808114035,0.809210526
3,28,Logistic,0.802631579,0.809210526
3,29,Logistic,0.801535088,0.809210526
3,30,Logistic,0.79495614,0.809210526
3,1,RandomForest,0.701754386,0.809210526
3,2,RandomForest,0.775219298,0.809210526
3,3,RandomForest,0.805921053,0.809210526
3,4,RandomForest,0.80372807,0.809210526
3,5,RandomForest,0.8125,0.809210526
3,6,RandomForest,0.8125,0.809210526
3,7,RandomForest,0.80372807,0.809210526
3,8,RandomForest,0.8125,0.809210526
3,9,RandomForest,0.815789474,0.809210526
3,10,RandomForest,0.8125,0.809210526
3,11,RandomForest,0.824561404,0.809210526
3,12,RandomForest,0.791666667,0.809210526
3,13,RandomForest,0.775219298,0.809210526
3,14,RandomForest,0.8125,0.809210526
3,15,RandomForest,0.815789474,0.809210526
3,16,RandomForest,0.824561404,0.809210526
3,17,RandomForest,0.791666667,0.809210526
3,18,RandomForest,0.791666667,0.809210526
3,19,RandomForest,0.80372807,0.809210526
3,20,RandomForest,0.824561404,0.809210526
3,21,RandomForest,0.815789474,0.809210526
3,22,RandomForest,0.824561404,0.809210526
3,23,RandomForest,0.80372807,0.809210526
3,24,RandomForest,0.809210526,0.809210526
3,25,RandomForest,0.816885965,0.809210526
3,26,RandomForest,0.815789474,0.809210526
3,27,RandomForest,0.824561404,0.809210526
3,28,RandomForest,0.815789474,0.809210526
3,29,RandomForest,0.775219298,0.809210526
3,30,RandomForest,0.809210526,0.809210526
3,1,SVM,0.701754386,0.809210526
3,2,SVM,0.760964912,0.809210526
3,3,SVM,0.790570175,0.809210526
3,4,SVM,0.8125,0.809210526
3,5,SVM,0.80372807,0.809210526
3,6,SVM,0.807017544,0.809210526
3,7,SVM,0.8125,0.809210526
3,8,SVM,0.813596491,0.809210526
3,9,SVM,0.807017544,0.809210526
3,10,SVM,0.807017544,0.809210526
3,11,SVM,0.80372807,0.809210526
3,12,SVM,0.80372807,0.809210526
3,13,SVM,0.819078947,0.809210526
3,14,SVM,0.80372807,0.809210526
3,15,SVM,0.80372807,0.809210526
3,16,SVM,0.791666667,0.809210526
3,17,SVM,0.80372807,0.809210526
3,18,SVM,0.80372807,0.809210526
3,19,SVM,0.80372807,0.809210526
3,20,SVM,0.80372807,0.809210526
3,21,SVM,0.815789474,0.809210526
3,22,SVM,0.775219298,0.809210526
3,23,SVM,0.80372807,0.809210526
3,24,SVM,0.80372807,0.809210526
3,25,SVM,0.816885965,0.809210526
3,26,SVM,0.791666667,0.809210526
3,27,SVM,0.791666667,0.809210526
3,28,SVM,0.791666667,0.809210526
3,29,SVM,0.775219298,0.809210526
3,30,SVM,0.816885965,0.809210526
4,1,TVS-RF,0.582236842,0.815789474
4,2,TVS-RF,0.535087719,0.815789474
4,3,TVS-RF,0.757675439,0.815789474
4,4,TVS-RF,0.641447368,0.815789474
4,5,TVS-RF,0.623903509,0.815789474
4,6,TVS-RF,0.620614035,0.815789474
4,7,TVS-RF,0.660087719,0.815789474
4,8,TVS-RF,0.776315789,0.815789474
4,9,TVS-RF,0.6875,0.815789474
4,10,TVS-RF,0.665570175,0.815789474
4,11,TVS-RF,0.637061404,0.815789474
4,12,TVS-RF,0.757675439,0.815789474
4,13,TVS-RF,0.682017544,0.815789474
4,14,TVS-RF,0.673245614,0.815789474
4,15,TVS-RF,0.666666667,0.815789474
4,16,TVS-RF,0.671052632,0.815789474
4,17,TVS-RF,0.674342105,0.815789474
4,18,TVS-RF,0.697368421,0.815789474
